?	liquid	tnk_failure_pressure	liquid_ratio	tnk_width	tnk_length	tnk_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_dist
G175	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	41
G176	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	42
G177	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	43
G178	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	44
G179	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	45
G180	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	46
G181	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	47
G182	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	48
G183	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	49
G184	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	50
G185	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	5
G186	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	6
G187	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	7
G188	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	8
G189	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	9
G190	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	10
G191	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	11
G192	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	12
G193	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	13
G194	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	14
G195	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	15
G196	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	16
G197	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	17
G198	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	18
G199	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	19
G200	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	20
G201	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	21
G202	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	22
G203	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	23
G204	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	24
G205	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	25
G206	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	26
G207	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	27
G208	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	28
G209	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	29
G210	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	30
G211	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	31
G212	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	32
G213	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	33
G214	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	34
G215	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	35
G216	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	36
G217	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	37
G218	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	38
G219	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	39
G220	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	40
G221	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	41
G222	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	42
G223	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	43
G224	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	44
G225	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	45
G226	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	46
G227	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	47
G228	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	48
G229	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	49
G230	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.4	50
G231	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	5
G232	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	6
G233	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	7
G234	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.2	8
